window,total_dio_tx,total_dio_rx,total_dao_tx,total_dao_rx,total_dis_tx,total_global_repair,total_local_repair,total_parent_switch,total_queue_flush,total_not_assoc,distinct_dio_versions_network,n_nodes_active,total_tx_count,total_delivered,avg_latency_ms_network,pdr_window,label_attack
0,15,18,0,0,0,0,0,1,0,0,1,0,0,0,,,0
1,17,25,8,8,5,0,0,6,0,5,1,0,0,0,,,0
2,55,110,12,11,13,0,0,6,0,10,1,0,0,0,,,0
3,47,114,26,27,10,0,0,10,0,8,1,0,0,0,,,0
4,62,199,13,11,9,0,0,11,0,5,1,0,0,0,,,0
5,39,130,11,13,7,0,0,2,0,5,1,0,0,0,,,0
6,43,131,9,8,4,0,0,5,0,4,1,10,10,10,113.6,1.0,0
7,34,122,7,8,3,0,0,3,0,2,1,5,5,4,116.0,0.8,0
8,31,87,4,4,1,0,0,2,0,1,1,9,9,9,106.22222222222223,1.0,0
9,34,96,2,2,2,0,0,1,0,1,1,6,6,6,113.16666666666667,1.0,0
10,33,80,4,4,1,0,0,3,0,0,1,4,4,4,118.0,1.0,0
11,28,72,2,2,0,0,0,0,0,0,1,9,9,9,103.11111111111111,1.0,0
12,17,58,2,2,0,0,0,1,0,0,1,12,12,12,112.33333333333333,1.0,0
13,19,62,0,0,0,0,0,0,0,0,1,6,6,6,102.83333333333333,1.0,0
14,15,56,0,0,0,0,0,0,0,0,1,11,11,10,112.3,0.9090909090909091,0
15,26,67,0,0,0,0,0,0,0,0,1,6,6,7,114.14285714285714,1.1666666666666667,0
16,5,23,0,0,0,0,0,0,0,0,1,5,5,5,117.2,1.0,0
17,14,28,0,0,0,0,0,0,0,0,1,10,10,10,112.7,1.0,0
18,12,16,4,4,0,0,0,2,0,0,1,12,12,11,109.63636363636364,0.9166666666666666,0
19,11,28,0,0,0,0,0,0,0,0,1,6,6,6,114.33333333333333,1.0,0
20,12,17,0,0,0,0,0,0,0,0,1,11,11,10,110.2,0.9090909090909091,0
21,13,27,0,0,0,0,0,0,0,0,1,6,6,7,110.71428571428571,1.1666666666666667,0
22,10,10,0,0,0,0,0,0,0,0,1,5,5,5,104.2,1.0,0
23,9,32,0,0,0,0,0,0,0,0,1,10,10,10,110.2,1.0,0
24,6,17,0,0,0,0,0,0,0,0,1,12,12,12,107.83333333333333,1.0,0
25,14,32,0,0,0,0,0,1,0,0,1,6,6,6,118.33333333333333,1.0,0
26,13,40,2,2,0,0,0,0,0,0,1,11,11,10,111.9,0.9090909090909091,0
27,10,34,0,0,0,0,0,0,0,0,1,6,6,7,104.85714285714286,1.1666666666666667,0
28,16,49,2,2,0,0,0,1,0,0,1,5,5,5,103.2,1.0,0
29,9,24,0,0,0,0,0,0,0,0,1,10,10,10,111.2,1.0,0
30,9,17,0,0,0,0,0,0,0,0,1,12,12,11,109.0909090909091,0.9166666666666666,0
31,11,12,0,0,0,0,0,0,0,0,1,6,6,7,107.85714285714286,1.1666666666666667,0
32,8,12,0,0,0,0,0,0,0,0,1,11,11,11,106.81818181818181,1.0,0
33,8,7,0,0,0,0,0,0,0,0,1,6,6,6,114.66666666666667,1.0,0
34,7,12,0,0,0,0,0,0,0,0,1,5,5,5,113.2,1.0,0
35,8,8,0,0,0,0,0,0,0,0,1,10,10,10,111.7,1.0,0
36,4,3,0,0,0,0,0,0,0,0,1,12,12,12,112.91666666666667,1.0,0
37,8,7,0,0,0,0,0,0,0,0,1,6,6,6,113.0,1.0,0
38,4,3,0,0,0,0,0,0,0,0,1,11,11,11,110.72727272727273,1.0,0
39,4,4,0,0,0,0,0,0,0,0,1,6,6,5,103.0,0.8333333333333334,0
40,7,7,0,0,0,0,0,0,0,0,1,5,5,6,113.83333333333333,1.2,0
41,6,5,0,0,0,0,0,0,0,0,1,10,10,10,111.1,1.0,0
42,6,9,0,0,0,0,0,0,0,0,1,12,12,12,112.0,1.0,0
43,15,26,2,2,0,0,0,1,0,0,1,6,6,6,106.16666666666667,1.0,0
44,6,12,0,0,0,0,0,0,0,0,1,11,11,11,114.81818181818181,1.0,0
45,8,12,0,0,0,0,0,0,0,0,1,6,6,5,103.8,0.8333333333333334,0
46,14,50,0,0,0,0,0,0,0,0,1,5,5,6,105.83333333333333,1.2,0
47,5,5,0,0,0,0,0,0,0,0,1,10,10,10,109.2,1.0,0
48,9,23,0,0,0,0,0,0,0,0,1,12,12,12,110.66666666666667,1.0,0
49,13,42,0,0,0,0,0,0,0,0,1,6,6,6,116.16666666666667,1.0,0
50,9,12,0,0,0,0,0,0,0,0,1,11,11,11,104.45454545454545,1.0,0
51,6,11,0,0,0,0,0,0,0,0,1,6,6,5,109.8,0.8333333333333334,0
52,10,31,0,0,0,0,0,0,0,0,1,5,5,6,106.16666666666667,1.2,0
53,9,41,0,0,0,0,0,0,0,0,1,10,10,10,104.2,1.0,0
54,13,26,0,0,0,0,0,0,0,0,1,12,12,12,111.41666666666667,1.0,0
55,11,10,0,0,0,0,0,0,0,0,1,6,6,6,105.83333333333333,1.0,0
56,9,17,0,0,0,0,0,0,0,0,1,11,11,11,104.0909090909091,1.0,0
57,5,7,0,0,0,0,0,0,0,0,1,6,6,6,113.16666666666667,1.0,0
58,7,10,0,0,0,0,0,0,0,0,1,5,5,5,103.2,1.0,0
59,4,1,0,0,0,0,0,0,0,0,1,10,10,9,117.22222222222223,0.9,0
60,2,2,0,0,0,0,0,0,0,0,1,12,12,13,107.15384615384616,1.0833333333333333,0
61,4,3,0,0,0,0,0,0,0,0,1,6,6,6,104.5,1.0,0
62,2,1,0,0,0,0,0,0,0,0,1,11,11,11,109.45454545454545,1.0,0
63,10,7,0,0,0,0,0,0,0,0,1,6,6,6,113.33333333333333,1.0,0
64,7,7,0,0,0,0,0,0,0,0,1,5,5,5,104.4,1.0,0
65,7,4,0,0,0,0,0,0,0,0,1,10,10,10,115.4,1.0,0
66,7,5,0,0,0,0,0,0,0,0,1,12,12,12,114.5,1.0,0
67,5,3,0,0,0,0,0,0,0,0,1,6,6,6,108.83333333333333,1.0,0
68,6,5,0,0,0,0,0,0,0,0,1,11,11,11,106.0909090909091,1.0,0
69,3,2,0,0,0,0,0,0,0,0,1,6,6,6,113.0,1.0,0
70,7,6,0,0,0,0,0,0,0,0,1,4,4,4,98.0,1.0,0
71,2,1,0,0,0,0,0,0,0,0,1,10,10,10,108.6,1.0,0
72,7,2,0,0,0,0,0,0,0,0,1,12,12,12,111.41666666666667,1.0,0
73,7,6,0,0,0,0,0,0,0,0,1,6,6,6,108.5,1.0,0
74,7,5,0,0,0,0,0,0,0,0,1,11,11,11,109.45454545454545,1.0,0
75,3,2,0,0,0,0,0,0,0,0,1,6,6,6,113.33333333333333,1.0,0
76,6,5,0,0,0,0,0,0,0,0,1,4,4,4,106.75,1.0,0
77,7,5,0,0,0,0,0,0,0,0,1,10,10,10,111.8,1.0,0
78,4,3,2,2,0,0,0,1,0,0,1,12,12,12,112.16666666666667,1.0,0
79,3,1,0,0,0,0,0,0,0,0,1,6,6,6,110.0,1.0,0
80,11,5,0,0,0,0,0,0,0,0,1,11,11,11,109.72727272727273,1.0,0
